id,facenet_id_res,facenet_prob_res,openface_id_res,openface_prob_res,Pred_Result_id,Pred_Result_prob,Actual Result,Update Result
1,b17,0.28,b17,0.28,b17,0.28,b17,o-f<0.63
2,b16,0.4,b16,0.41,b16,0.41,b16,c= o-f>0.63
3,b16,0.47,b16,0.47,b16,0.47,b16,c= o-f>0.63
4,lan,0.36,lan,0.51,lan,0.51,lan,c= o-f>0.63
5,b11,0.26,b17,0.31,b17,0.31,b11,c = f<o
6,andy,0.42,lan,0.17,lan,0.17,andy,c = f>o
7,zj,0.43,zj,0.44,zj,0.44,zj,c= o-f>0.63
8,b16,0.45,b16,0.53,b16,0.53,b16,c= o-f>0.63
9,b12,0.3,b12,0.4,b12,0.4,b12,c= o-f>0.63
10,b12,0.29,b12,0.31,b12,0.31,b12,c = f<o
11,b11,0.41,b11,0.29,b11,0.29,b11,c = f>o
12,zj,0.38,zj,0.28,zj,0.28,zj,c = f>o
13,b16,0.5,b16,0.36,b16,0.36,b16,c= o-f>0.63
14,b17,0.31,b17,0.44,b17,0.44,b17,c= o-f>0.63
15,b15,0.3,b15,0.35,b15,0.35,b15,c= o-f>0.63
16,b13,0.4,b13,0.48,b13,0.48,b13,c= o-f>0.63
17,b13,0.29,b13,0.35,b13,0.35,b13,c = f<o
18,trump,0.28,trump,0.28,trump,0.28,trump,o-f<0.63
19,b12,0.28,b12,0.33,b12,0.33,b12,c = f<o
20,b16,0.46,b16,0.2,b16,0.2,b16,c = f>o
21,trump,0.32,trump,0.49,trump,0.49,trump,c= o-f>0.63
22,b15,0.24,trump,0.16,trump,0.16,b15,o-f<0.63
23,b11,0.39,b11,0.35,b11,0.35,b11,c= o-f>0.63
24,trump,0.42,trump,0.47,trump,0.47,trump,c= o-f>0.63
25,b12,0.18,b17,0.2,b17,0.2,b12,o-f<0.63
26,lan,0.32,lan,0.24,lan,0.24,lan,c = f>o
27,zj,0.36,zj,0.37,zj,0.37,zj,c= o-f>0.63
28,b15,0.31,b15,0.23,b15,0.23,b15,c = f>o
29,b12,0.25,b12,0.26,b12,0.26,b12,o-f<0.63
30,zj,0.21,b15,0.23,b15,0.23,zj,o-f<0.63
31,b16,0.56,b16,0.51,b16,0.51,b16,c= o-f>0.63
32,b12,0.26,b17,0.21,b17,0.21,b12,o-f<0.63
33,trump,0.35,trump,0.37,trump,0.37,trump,c= o-f>0.63
34,b13,0.35,b13,0.45,b13,0.45,b13,c= o-f>0.63
35,b16,0.57,b16,0.48,b16,0.48,b16,c= o-f>0.63
36,trump,0.34,trump,0.42,trump,0.42,trump,c= o-f>0.63
37,trump,0.31,trump,0.32,trump,0.32,trump,c= o-f>0.63
38,b12,0.26,b12,0.31,b12,0.31,b12,c = f<o
39,b11,0.34,b11,0.3,b11,0.3,b11,c= o-f>0.63
40,b12,0.23,b12,0.18,b12,0.18,b12,o-f<0.63
41,b12,0.24,b17,0.29,b17,0.29,b12,o-f<0.63
42,trump,0.31,trump,0.28,trump,0.28,trump,c = f>o
43,b15,0.24,b16,0.28,b16,0.28,b15,o-f<0.63
44,trump,0.18,b12,0.22,b12,0.22,b12,o-f<0.63
45,b13,0.26,b12,0.16,b12,0.16,b13,o-f<0.63
46,b16,0.54,b16,0.42,b16,0.42,b16,c= o-f>0.63
47,b15,0.32,b15,0.24,b15,0.24,b15,c = f>o
48,b12,0.36,b12,0.41,b12,0.41,b12,c= o-f>0.63
49,b13,0.4,b13,0.48,b13,0.48,b13,c= o-f>0.63
50,b12,0.31,b17,0.34,b17,0.34,b12,c not= o-f>0.63
51,b16,0.18,b16,0.18,b16,0.18,b15,o-f<0.63
52,trump,0.29,trump,0.36,trump,0.36,trump,c = f<o
53,b11,0.41,b11,0.33,b11,0.33,b11,c= o-f>0.63
54,zj,0.29,zj,0.37,zj,0.37,zj,c = f<o
55,b11,0.41,b11,0.33,b11,0.33,b11,c= o-f>0.63
56,b15,0.16,b17,0.19,b17,0.19,b15,o-f<0.63
57,zj,0.43,zj,0.22,zj,0.22,zj,c = f>o
58,b13,0.36,b13,0.45,b13,0.45,b13,c= o-f>0.63
59,b13,0.36,b17,0.24,b17,0.24,b13,c = f>o
60,b11,0.36,b11,0.39,b11,0.39,b11,c= o-f>0.63
61,lan,0.4,lan,0.37,lan,0.37,lan,c= o-f>0.63
62,andy,0.27,b16,0.24,b16,0.24,b13,o-f<0.63
63,zj,0.28,b15,0.23,b15,0.23,zj,o-f<0.63
64,trump,0.31,b16,0.21,b16,0.21,trump,c = f>o
65,b16,0.53,b16,0.24,b16,0.24,b16,c = f>o
66,b11,0.35,b11,0.27,b11,0.27,b11,c = f>o
67,zj,0.31,lan,0.19,lan,0.19,zj,c = f>o
68,b12,0.36,b12,0.39,b12,0.39,b12,c= o-f>0.63
69,b17,0.29,b17,0.49,b17,0.49,b17,c = f<o
70,b16,0.53,b16,0.33,b16,0.33,b16,c= o-f>0.63
71,b16,0.56,b16,0.53,b16,0.53,b16,c= o-f>0.63
72,b16,0.17,trump,0.31,trump,0.31,trump,c = f<o
73,trump,0.34,trump,0.38,trump,0.38,trump,c= o-f>0.63
74,b17,0.23,b17,0.22,b17,0.22,b17,o-f<0.63
75,zj,0.31,zj,0.27,zj,0.27,zj,c = f>o
76,b12,0.25,b12,0.24,b12,0.24,b12,o-f<0.63
77,b13,0.23,b13,0.45,b13,0.45,b13,c = f<o
78,zj,0.27,zj,0.51,zj,0.51,zj,c = f<o
79,b15,0.35,b15,0.45,b15,0.45,b15,c= o-f>0.63
80,b15,0.32,b17,0.2,b17,0.2,b15,c = f>o
81,b16,0.48,b16,0.27,b16,0.27,b16,c = f>o
82,b12,0.28,b12,0.3,b12,0.3,b12,c = f<o
83,b13,0.36,zj,0.28,zj,0.28,b13,c = f>o
84,b16,0.16,b17,0.23,b17,0.23,b12,o-f<0.63
85,lan,0.22,b16,0.23,b16,0.23,lan,o-f<0.63
86,b11,0.33,b11,0.25,b11,0.25,b11,c = f>o
87,b12,0.3,b12,0.27,b12,0.27,b12,c = f>o
88,andy,0.38,b15,0.27,b15,0.27,andy,c = f>o
89,b16,0.53,b16,0.36,b16,0.36,b16,c= o-f>0.63
90,b11,0.44,b11,0.44,b11,0.44,b11,c= o-f>0.63
91,b15,0.37,b15,0.39,b15,0.39,b15,c= o-f>0.63
92,b12,0.27,b12,0.37,b12,0.37,b12,c = f<o
93,b11,0.41,b11,0.38,b11,0.38,b11,c= o-f>0.63
94,b17,0.15,b17,0.37,b17,0.37,b17,c = f<o
95,b12,0.27,b12,0.34,b12,0.34,b12,c = f<o
96,b15,0.35,b15,0.38,b15,0.38,b15,c= o-f>0.63
97,lan,0.2,lan,0.42,lan,0.42,lan,c = f<o
98,b17,0.31,b17,0.55,b17,0.55,b17,c= o-f>0.63
99,b11,0.28,b11,0.27,b11,0.27,b11,o-f<0.63
100,b11,0.31,b11,0.22,b11,0.22,b11,c = f>o
101,trump,0.2,b16,0.17,b16,0.17,b15,o-f<0.63
102,lan,0.21,lan,0.42,lan,0.42,lan,c = f<o
