id,facenet_id_res,facenet_prob_res,openface_id_res,openface_prob_res,Pred_Result_id,Pred_Result_prob,Actual Result,Update Result
1,b17,0.29,b17,0.26,b17,0.29,b17,o-f<0.63
2,b16,0.41,lan,0.27,b16,0.41,b16,c = f>o
3,b16,0.48,lan,0.36,b16,0.48,b16,c not= o-f>0.63
4,lan,0.45,lan,0.45,lan,0.45,lan,c= o-f>0.63
5,b11,0.22,b17,0.34,b17,0.34,b11,c = f<o
6,andy,0.49,lan,0.2,andy,0.49,andy,c = f>o
7,zj,0.45,zj,0.45,zj,0.45,zj,c= o-f>0.63
8,b16,0.45,lan,0.25,b16,0.45,b16,c = f>o
9,b12,0.27,b12,0.39,b12,0.39,b12,c = f<o
10,b12,0.27,b12,0.31,b12,0.31,b12,c = f<o
11,b11,0.35,b11,0.3,b11,0.35,b11,c= o-f>0.63
12,zj,0.4,zj,0.28,zj,0.4,zj,c = f>o
13,b16,0.5,lan,0.27,b16,0.5,b16,c = f>o
14,b17,0.3,b17,0.35,b17,0.35,b17,c= o-f>0.63
15,b15,0.29,b15,0.38,b15,0.38,b15,c = f<o
16,b13,0.38,b13,0.47,b13,0.47,b13,c= o-f>0.63
17,b13,0.27,b13,0.34,b13,0.34,b13,c = f<o
18,trump,0.29,trump,0.29,trump,0.29,trump,o-f<0.63
19,b12,0.25,b12,0.35,b12,0.35,b12,c = f<o
20,b16,0.46,b15,0.2,b16,0.46,b16,c = f>o
21,trump,0.32,trump,0.5,trump,0.5,trump,c= o-f>0.63
22,b15,0.24,b15,0.17,b15,0.24,b15,o-f<0.63
23,b11,0.34,b11,0.37,b11,0.37,b11,c= o-f>0.63
24,trump,0.42,trump,0.48,trump,0.48,trump,c= o-f>0.63
25,b12,0.17,b17,0.19,b17,0.19,b12,o-f<0.63
26,lan,0.38,lan,0.33,lan,0.38,lan,c= o-f>0.63
27,zj,0.39,zj,0.36,zj,0.39,zj,c= o-f>0.63
28,b15,0.29,b15,0.26,b15,0.29,b15,o-f<0.63
29,b12,0.23,b12,0.27,b12,0.27,b12,o-f<0.63
30,zj,0.25,b15,0.25,zj,0.25,zj,o-f<0.63
31,b16,0.57,lan,0.41,b16,0.57,b16,c not= o-f>0.63
32,b12,0.24,b17,0.24,b12,0.24,b12,o-f<0.63
33,trump,0.35,trump,0.37,trump,0.37,trump,c= o-f>0.63
34,b13,0.34,b13,0.45,b13,0.45,b13,c= o-f>0.63
35,b16,0.58,lan,0.41,b16,0.58,b16,c not= o-f>0.63
36,trump,0.34,trump,0.43,trump,0.43,trump,c= o-f>0.63
37,trump,0.31,trump,0.33,trump,0.33,trump,c= o-f>0.63
