id,facenet_id_res,facenet_prob_res,openface_id_res,openface_prob_res,Pred_Result_id,Pred_Result_prob,Actual Result,Update Result
1,b15,0.1,b15,0.72,b15,0.1,b15,o-f<0.63
2,b13,0.13,b13,0.62,b13,0.13,b13,o-f<0.63
3,b18,0.09,b16,0.45,b18,0.09,b24,o-f<0.63
4,b15,0.3,b15,0.94,b15,0.3,b15,c= o-f>0.63
5,b23,0.4,b23,0.89,b23,0.4,b23,c= o-f>0.63
6,b15,0.28,b15,0.82,b15,0.28,b15,c= o-f>0.63
7,b11,0.23,b11,0.92,b11,0.23,b11,c= o-f>0.63
8,b17,0.12,b17,0.8,b17,0.12,b17,o-f<0.63
9,b25,0.12,b12,0.37,b25,0.12,b12,o-f<0.63
10,b23,0.09,b26,0.26,b23,0.09,b22,o-f<0.63
11,b23,0.34,b23,0.93,b23,0.34,b23,c= o-f>0.63
12,b11,0.16,b21,0.66,b11,0.16,b11,c= o-f>0.63
13,b19,0.1,b19,0.81,b19,0.1,b19,o-f<0.63
14,trump,0.25,b13,0.31,trump,0.25,trump,c= o-f>0.63
15,b25,0.17,b25,0.62,b25,0.17,b25,c= o-f>0.63
16,b25,0.19,b12,0.38,b25,0.19,b25,c= o-f>0.63
17,b25,0.12,b25,0.45,b25,0.12,b12,o-f<0.63
18,b15,0.32,b15,0.84,b15,0.32,b15,c= o-f>0.63
19,b25,0.3,b25,0.98,b25,0.3,b25,c= o-f>0.63
20,trump,0.27,trump,0.9,trump,0.27,trump,c= o-f>0.63
21,b23,0.15,b15,0.5,b23,0.15,b26,c= o-f>0.63
22,b17,0.15,b17,0.88,b17,0.15,b17,c= o-f>0.63
23,b23,0.37,b23,0.97,b23,0.37,b23,c= o-f>0.63
24,b27,0.26,b27,0.95,b27,0.26,b27,c= o-f>0.63
25,b18,0.11,b24,0.88,b18,0.11,b24,o-f<0.63
26,b18,0.16,b26,0.32,b18,0.16,b18,c= o-f>0.63
27,b21,0.3,b21,0.95,b21,0.3,b21,c= o-f>0.63
28,b13,0.15,b13,0.67,b13,0.15,b13,c= o-f>0.63
29,lan,0.1,lan,0.84,lan,0.1,lan,o-f<0.63
30,b23,0.42,b23,0.83,b23,0.42,b23,c= o-f>0.63
31,b21,0.29,b21,0.98,b21,0.29,b21,c= o-f>0.63
32,andy,0.08,b15,0.96,andy,0.08,b15,o-f<0.63
33,b13,0.32,b13,0.89,b13,0.32,b13,c= o-f>0.63
34,b24,0.11,b18,0.71,b24,0.11,b24,o-f<0.63
35,b17,0.16,b18,0.67,b17,0.16,b17,c= o-f>0.63
36,b19,0.14,b19,0.5,b19,0.14,b19,o-f<0.63
37,b23,0.46,b23,0.95,b23,0.46,b23,c= o-f>0.63
38,b17,0.33,b17,0.84,b17,0.33,b17,c= o-f>0.63
39,b17,0.1,b17,0.69,b17,0.1,b17,o-f<0.63
40,b22,0.28,b22,0.94,b22,0.28,b22,c= o-f>0.63
41,b23,0.12,b19,0.45,b23,0.12,b17,o-f<0.63
42,zj,0.32,zj,0.92,zj,0.32,zj,c= o-f>0.63
43,b19,0.18,b16,0.21,b19,0.18,b19,c= o-f>0.63
44,b23,0.14,b17,0.47,b23,0.14,b17,o-f<0.63
45,lan,0.13,b26,0.41,lan,0.13,lan,o-f<0.63
46,b22,0.15,b22,0.86,b22,0.15,b22,c= o-f>0.63
47,b12,0.24,b12,0.91,b12,0.24,b12,c= o-f>0.63
48,b11,0.36,b11,0.96,b11,0.36,b11,c= o-f>0.63
49,b26,0.21,b26,0.73,b26,0.21,b26,c= o-f>0.63
50,b19,0.19,b19,0.97,b19,0.19,b19,c= o-f>0.63
51,b13,0.32,b13,0.94,b13,0.32,b13,c= o-f>0.63
52,b19,0.11,b19,0.48,b19,0.11,b20,o-f<0.63
53,b25,0.33,b25,0.89,b25,0.33,b25,c= o-f>0.63
54,zj,0.14,zj,0.98,zj,0.14,zj,o-f<0.63
55,trump,0.13,trump,0.94,trump,0.13,trump,o-f<0.63
56,b18,0.24,b18,0.92,b18,0.24,b18,c= o-f>0.63
57,b16,0.13,b16,0.92,b16,0.13,b16,o-f<0.63
58,b25,0.13,b18,0.26,b25,0.13,b16,o-f<0.63
59,b26,0.2,b23,0.59,b26,0.2,b26,c= o-f>0.63
60,b25,0.13,b19,0.89,b25,0.13,b19,o-f<0.63
61,b25,0.43,b25,0.96,b25,0.43,b25,c= o-f>0.63
62,b22,0.34,b22,0.97,b22,0.34,b22,c= o-f>0.63
63,b26,0.21,b26,0.43,b26,0.21,b26,c= o-f>0.63
64,b25,0.12,b19,0.21,b25,0.12,b24,o-f<0.63
65,b24,0.16,b24,0.95,b24,0.16,b24,c= o-f>0.63
66,b24,0.16,b24,0.89,b24,0.16,b24,c= o-f>0.63
67,b24,0.13,b24,0.62,b24,0.13,b24,o-f<0.63
68,b18,0.13,b24,0.92,b18,0.13,b24,o-f<0.63
69,b24,0.12,b24,0.47,b24,0.12,b24,o-f<0.63
70,b25,0.51,b25,0.98,b25,0.51,b25,c= o-f>0.63
71,b15,0.39,b15,0.96,b15,0.39,b15,c= o-f>0.63
72,zj,0.29,zj,0.79,zj,0.29,zj,c= o-f>0.63
73,b22,0.29,b22,0.91,b22,0.29,b22,c= o-f>0.63
74,lan,0.19,lan,0.85,lan,0.19,lan,c= o-f>0.63
75,andy,0.16,lan,0.33,andy,0.16,lan,c= o-f>0.63
76,zj,0.29,zj,0.51,zj,0.29,zj,c= o-f>0.63
77,b17,0.33,b17,0.96,b17,0.33,b17,c= o-f>0.63
78,b18,0.12,b26,0.57,b18,0.12,b16,o-f<0.63
79,b22,0.28,b22,0.94,b22,0.28,b22,c= o-f>0.63
80,b23,0.31,b23,0.72,b23,0.31,b23,c= o-f>0.63
81,b17,0.28,b17,0.9,b17,0.28,b17,c= o-f>0.63
82,b25,0.35,b25,0.82,b25,0.35,b25,c= o-f>0.63
83,b16,0.22,b16,0.96,b16,0.22,b16,c= o-f>0.63
84,b26,0.37,b26,0.78,b26,0.37,b26,c= o-f>0.63
85,b16,0.17,b16,0.78,b16,0.17,b16,c= o-f>0.63
86,zj,0.23,zj,0.95,zj,0.23,zj,c= o-f>0.63
87,b23,0.41,b23,0.9,b23,0.41,b23,c= o-f>0.63
88,b22,0.1,zj,0.88,b22,0.1,zj,o-f<0.63
89,andy,0.2,b12,0.25,andy,0.2,andy,c= o-f>0.63
90,b24,0.18,b24,0.78,b24,0.18,b24,c= o-f>0.63
91,zj,0.19,zj,0.37,zj,0.19,zj,c= o-f>0.63
92,b27,0.18,b27,0.82,b27,0.18,b27,c= o-f>0.63
93,b16,0.24,b16,0.73,b16,0.24,b16,c= o-f>0.63
94,b19,0.1,b16,0.66,b19,0.1,b20,o-f<0.63
95,b11,0.45,b11,0.98,b11,0.45,b11,c= o-f>0.63
96,b16,0.28,b16,0.71,b16,0.28,b16,c= o-f>0.63
